time,s,i
1.87,0.00016015226022630117,0.735594772793897
1.8800000000000001,0.00014919818575463394,0.7334682932364243
1.8900000000000001,0.00014427299196093617,0.7324416220654594
1.9000000000000001,0.00013457568620376428,0.7303508513571223
1.9100000000000001,0.0001273743475146797,0.7286858202117567
1.92,0.00011856491479345769,0.7265333249712079
1.93,0.00011369259324890961,0.7252540058560837
1.94,0.00010633894860068343,0.7232401073796376
1.95,0.00010121719410131119,0.7217400907985455
1.96,9.563614359015569e-05,0.7200225670937614
1.97,8.789854381542389e-05,0.7175019719535985
1.98,8.479000220846522e-05,0.7163999208304282
1.99,7.926513454724015e-05,0.7143692137141723
2.0,7.358945292403296e-05,0.7121372719144359
2.0100000000000002,6.931654517786158e-05,0.7103270406811376
2.02,6.51954206709245e-05,0.7084732339399189
2.0300000000000002,6.249275873535675e-05,0.7071804746719009
2.04,5.886865637347002e-05,0.705371837624318
2.05,5.57381477265032e-05,0.7037131602840295
2.06,5.391296963970653e-05,0.7026916860246778
2.07,4.971038355851286e-05,0.7002599104794305
2.08,4.71335771266479e-05,0.6986426003481364
2.09,4.458478161848162e-05,0.6969552740167011
2.1,4.180558448922499e-05,0.6950100811225357
2.11,3.953303858178929e-05,0.6933136079033727
2.12,3.631520919006405e-05,0.6907732021688087
2.13,3.4245182440084126e-05,0.6889939707139037
2.14,3.225963218661456e-05,0.687184067963387
2.15,3.019006777208688e-05,0.6851813444297319
2.16,2.831151668464274e-05,0.6832387185190935
2.17,2.695845290986479e-05,0.6817465718374185
2.18,2.552252853197631e-05,0.6800834969325197
2.19,2.4240160713363538e-05,0.6785146372871188
2.2,2.286171758598985e-05,0.6767389504607623
2.21,2.1442835493376078e-05,0.6748008796598333
2.22,2.0462199524512196e-05,0.6733727174925351
2.23,1.9178914059205274e-05,0.6714141591322965
2.24,1.829077475114008e-05,0.669967918758939
2.25,1.741982779803035e-05,0.6684807667732943
2.2600000000000002,1.638427192956785e-05,0.6666240847176768
2.27,1.545527792507321e-05,0.6648531276757771
2.2800000000000002,1.4583385983265053e-05,0.66309106632811
2.29,1.3818433563590497e-05,0.6614526534419768
2.3000000000000003,1.3200174142546531e-05,0.6600550953582752
2.31,1.2374133890758173e-05,0.6581003594802047
2.32,1.1834286914968836e-05,0.6567375539696507
2.33,1.111605666028323e-05,0.6548416902072435
2.34,1.0469941883416899e-05,0.6530259469859337
2.35,9.836992453974937e-06,0.651137393740224
2.36,9.455678595373709e-06,0.6499264232982445
2.37,8.78415216682883e-06,0.6477077722577771
2.38,8.330536252319275e-06,0.6460944677033864
2.39,7.812891631990951e-06,0.6441531662507359
2.4,7.414460476150866e-06,0.6425599199461808
2.41,7.0918558237120855e-06,0.641200548825155
2.42,6.6636696821664345e-06,0.639314190638883
2.43,6.294185093523163e-06,0.637581822165886
2.44,5.958284857225307e-06,0.6359144469600239
2.45,5.681613938909387e-06,0.634463640575239
2.46,5.422494301857641e-06,0.6330386904594486
2.47,5.220001833928409e-06,0.6318719226850007
2.48,4.9335958893364265e-06,0.6301576147185207
2.49,4.6440389469561075e-06,0.6283238151744601
2.5,4.404442510215048e-06,0.626711796834717
2.5100000000000002,4.163993050091693e-06,0.6250060221389169
2.52,3.957374024139505e-06,0.6234555910687508
2.5300000000000002,3.793944545172868e-06,0.6221652090035269
2.54,3.5448381171635545e-06,0.6201136158168999
2.5500000000000003,3.31121141583026e-06,0.6180542816508392
2.56,3.1368325806386635e-06,0.616408732481584
2.57,3.0227725680389547e-06,0.6152725489222269
2.58,2.8636900003285407e-06,0.6136280820433464
2.59,2.774318432040382e-06,0.6126529047105282
2.6,2.590990174295005e-06,0.6105880734433526
2.61,2.46711096065739e-06,0.6090940868992302
2.62,2.3713556859307714e-06,0.6078812853090164
2.63,2.2835587839731516e-06,0.6067243753588264
2.64,2.144754779301733e-06,0.6048250118699955
2.65,1.9996388251166106e-06,0.6027107550915934
2.66,1.916017718525691e-06,0.6014040229276976
2.67,1.7851673305322807e-06,0.599270000954102
2.68,1.7146461362413029e-06,0.5980355724544476
2.69,1.6551608199990685e-06,0.5969514921319754
2.7,1.5507860018892166e-06,0.5949809643926678
2.71,1.4702395173056383e-06,0.593357946948733
2.72,1.3956896376681733e-06,0.5917734608122422
2.73,1.3581857133153905e-06,0.590933771772103
2.74,1.2994210502080469e-06,0.5895817358238703
2.75,1.2570137120604995e-06,0.5885619168730299
2.7600000000000002,1.2067479274412187e-06,0.5873123341759587
2.77,1.1626961494469768e-06,0.5861716113525542
2.7800000000000002,1.1019976723457028e-06,0.5845402678270498
2.79,1.0403020194571928e-06,0.5827907893910416
2.8000000000000003,9.88093527411161e-07,0.5812225322567431
2.81,9.459587263825642e-07,0.5798899955459024
2.82,9.027849982122108e-07,0.5784637830409257
2.83,8.531038619960828e-07,0.5767441148381488
2.84,8.068396437321034e-07,0.5750494591028161
2.85,7.704427616223265e-07,0.5736397946071276
2.86,7.219878741349881e-07,0.5716744598961185
2.87,6.823291254886531e-07,0.5699579390147296
2.88,6.5713931034257e-07,0.568804295551237
2.89,6.196648298345137e-07,0.5670222489265845
2.9,5.859257575324874e-07,0.5653208047720027
2.91,5.642935258293692e-07,0.5641670842585242
2.92,5.412749474822551e-07,0.5628923618823365
2.93,5.141547706440125e-07,0.5613266311004762
2.94,4.925879867829124e-07,0.5600158372588662
2.95,4.6532687633365284e-07,0.5582864076018265
2.96,4.447839191697244e-07,0.5569068228736872
2.97,4.273075479103741e-07,0.5556789708648617
2.98,3.99917499427326e-07,0.5536758999729328
2.99,3.756171870846848e-07,0.5517770707302144
3.0,3.5724048276081213e-07,0.5502482133529146
3.0100000000000002,3.444056360766894e-07,0.5491254840064185
3.02,3.265047776238973e-07,0.5475012490842912
3.0300000000000002,3.1212800413910027e-07,0.5461252524431879
3.04,2.967002252580202e-07,0.5445806512917415
3.0500000000000003,2.824346030563794e-07,0.5430781365538431
3.06,2.7347829722187176e-07,0.5420871743108002
3.0700000000000003,2.629420445979208e-07,0.540883221322915
3.08,2.462796869359248e-07,0.5389029587274096
3.09,2.3643384681959396e-07,0.5376536470905754
3.1,2.271939583649736e-07,0.5364323992300487
3.11,2.1725064341613696e-07,0.5350647293530579
3.12,2.0913457001577022e-07,0.533897296536514
3.13,2.0046196443081683e-07,0.5326013983463309
3.14,1.901555678811916e-07,0.5309947452984584
3.15,1.8171273164808557e-07,0.5296072654062204
3.16,1.7279698384326487e-07,0.5280739909005279
3.17,1.6563555322651038e-07,0.5267788671991619
3.18,1.6052247402687385e-07,0.525814201854262
3.19,1.5437867519436812e-07,0.5246181529616573
3.2,1.4850700933224412e-07,0.5234295908011104
3.21,1.4285095082642383e-07,0.5222394046332164
3.22,1.3621577131201319e-07,0.5207879028351249
3.23,1.307587835790475e-07,0.5195359910947672
3.24,1.2559628873801453e-07,0.5183022132610724
3.25,1.2159835841518938e-07,0.5173074798838492
3.2600000000000002,1.1710034744157474e-07,0.5161515243445912
3.27,1.1255047484591657e-07,0.5149373265310997
3.2800000000000002,1.0809463708692096e-07,0.5137001533547751
3.29,1.0449288153967259e-07,0.5126588947451501
3.3000000000000003,9.978291868749042e-08,0.5112503217897071
3.31,9.450057154324257e-08,0.509596002359678
3.3200000000000003,8.963394609837622e-08,0.5079866831484857
3.33,8.565413233393563e-08,0.5065991639236168
3.34,8.222886623078779e-08,0.5053494954088759
3.35,7.954041795224132e-08,0.5043277886593176
3.36,7.83060623610923e-08,0.5038428337768148
3.37,7.559541662876317e-08,0.502761085259252
3.38,7.352963366389581e-08,0.5019071239429806
3.39,7.127263119542955e-08,0.5009479030456564
3.4,6.819241119093183e-08,0.499597361414308
3.41,6.579255430196875e-08,0.4984976002705337
